Head,Description,Definition,Translation
1100,,Reserved,Reserved
1200,,Generic Infrastructure Problem,Generic Infrastructure Problem
1300,,Generic Traffic and Transportation Problem,Generic Traffic and Transportation Problem
1400,,Natural Disaster,Natural Disaster
1500,,Generic Urban Problem,Generic Urban Problem
1600,,Generic Environmental Problem,Generic Environmental Problem
1700,,Generic Health Problem,Generic Health Problem
1800,,Extraordinary Circumstances,Extraordinary Circumstances
2100,,Reserved,Reserved
2200,,Generic Infrastructure Solution,Generic Infrastructure Solution
2300,,Generic Traffic and Transportation Solution,Generic Traffic and Transportation Solution
2400,,Natural Disaster Recovery,Natural Disaster Recovery
2500,,Generic Urban Solution,Generic Urban Solution
2600,,Generic Environmental Solution,Generic Environmental Solution
2700,,Generic Health Solution,Generic Health Solution
2800,,Crisis Management,Crisis Management
3100,,Spontaneous Social Events,Spontaneous Social Events
3200,,One-day Social Events,One-day Social Events
3300,,Daily Social Events,Daily Social Events
